,ids,growth,status,growth_ratio,class
80,{'b4153'},0.8739215069684311,optimal,1.0000000000000038,non-essential
81,{'b4154'},0.8739215069684279,optimal,1.0,non-essential
82,{'b2280'},0.21166294973531022,optimal,0.242199039670684,strongly-essential
83,{'b0902'},0.873921506968431,optimal,1.0000000000000036,non-essential
84,{'b4395'},0.8739215069684279,optimal,1.0,non-essential
85,{'b1779'},4.960407792924738e-16,optimal,5.676033549205172e-16,lethal
86,{'b3925'},0.8739215069684303,optimal,1.0000000000000029,non-essential
87,{'b3952'},0.8739215069684279,optimal,1.0,non-essential
88,{'b1854'},0.8739215069684305,optimal,1.000000000000003,non-essential
89,{'b0755'},0.8739215069684305,optimal,1.000000000000003,non-essential
90,{'b1602'},0.8739215069684279,optimal,1.0,non-essential
91,{'b2283'},0.21166294973531022,optimal,0.242199039670684,strongly-essential
92,{'b1773'},0.873921506968431,optimal,1.0000000000000036,non-essential
93,{'b2987'},0.8739215069684279,optimal,1.0,non-essential
94,{'b1380'},0.8739215069684305,optimal,1.000000000000003,non-essential
95,{'b3734'},0.3742298749331099,optimal,0.42821909284654974,strongly-essential
96,{'b2133'},0.8739215069684279,optimal,1.0,non-essential
97,{'b1812'},0.8739215069684305,optimal,1.000000000000003,non-essential
98,{'b0724'},0.8142975075325314,optimal,0.9317741937228117,partially-essential
99,{'b1761'},0.8513885233462078,optimal,0.9742162385951739,non-essential
100,{'b2297'},0.8739215069684306,optimal,1.000000000000003,non-essential
101,{'b3213'},0.8739215069684305,optimal,1.000000000000003,non-essential
102,{'b4152'},0.8739215069684279,optimal,1.0,non-essential
103,{'b2975'},0.8739215069684305,optimal,1.000000000000003,non-essential
104,{'b1817'},0.8739215069684305,optimal,1.000000000000003,non-essential
105,{'b3733'},0.3742298749331101,optimal,0.42821909284655,strongly-essential
106,{'b3603'},0.8739215069684306,optimal,1.000000000000003,non-essential
107,{'b0351'},0.8739215069684305,optimal,1.000000000000003,non-essential
108,{'b3114'},0.8739215069684279,optimal,1.0,non-essential
109,{'b2288'},0.21166294973531022,optimal,0.242199039670684,strongly-essential
110,{'b2914'},0.873921506968431,optimal,1.0000000000000036,non-essential
111,{'b1101'},0.8739215069684279,optimal,1.0,non-essential
112,{'b4122'},0.8739215069684305,optimal,1.000000000000003,non-essential
113,{'b2458'},0.8739215069684305,optimal,1.000000000000003,non-essential
114,{'b3919'},0.7040369478590252,optimal,0.8056066159777664,partially-essential
115,{'b0810'},0.8739215069684305,optimal,1.000000000000003,non-essential
116,{'b2278'},0.2116629497353101,optimal,0.2421990396706839,strongly-essential
117,{'b1818'},0.8739215069684279,optimal,1.0,non-essential
118,{'b3736'},0.3742298749331099,optimal,0.42821909284654974,strongly-essential
119,{'b0722'},0.8142975075325303,optimal,0.9317741937228103,partially-essential
120,{'b0114'},0.7966959254309525,optimal,0.9116332749317894,partially-essential
121,{'b1819'},0.8739215069684306,optimal,1.000000000000003,non-essential
122,{'b3951'},0.8739215069684305,optimal,1.000000000000003,non-essential
123,{'b1702'},0.8739215069684279,optimal,1.0,non-essential
124,{'s0001'},0.21114065257211634,optimal,0.24160139198833588,strongly-essential
125,{'b4232'},0.8739215069684305,optimal,1.000000000000003,non-essential
126,{'b0116'},0.7823510529477347,optimal,0.8952189031960723,partially-essential
127,{'b3732'},0.37422987493310994,optimal,0.4282190928465498,strongly-essential
128,{'b1297'},0.8739215069684279,optimal,1.0,non-essential
129,{'b2279'},0.21166294973531022,optimal,0.242199039670684,strongly-essential
130,{'b2464'},0.873921506968431,optimal,1.0000000000000036,non-essential
131,{'b4151'},0.8739215069684306,optimal,1.000000000000003,non-essential
132,{'b0978'},0.8739215069684305,optimal,1.000000000000003,non-essential
133,{'b2415'},,infeasible,,infeasible
134,{'b0356'},0.8739215069684279,optimal,1.0,non-essential
135,{'b2416'},,infeasible,,infeasible
136,{'b3916'},0.8739215069684306,optimal,1.000000000000003,non-essential
