"","Blood","TumorCore","TumorEdge"
"ZBTB8OS",974,603,1085
"RBBP4",1315,908,1431
"SYNC",399,252,383
"KIAA1522",2,2,2
"YARS",399,365,672
"S100PBP",289,285,580
"FNDC5",1,0,1
"HPCA",1,0,1
"TMEM54",0,0,0
"RNF19B",40,50,70
"RP4-803A2.2",0,0,1
"RP1-117O3.2",1,1,0
"AK2",494,400,646
"Metazoa-SRP.3",0,10,4
"AZIN2",46,22,45
"RP11-131M11.2",5,2,5
"TRIM62",41,28,67
"RP11-131M11.3",4,4,3
"ZNF362",105,74,146
"RP11-415J8.3",0,0,0
"PHC2",75,65,110
"RN7SKP16",3,1,1
"RP11-415J8.5",2,0,0
"ZSCAN20",9,6,2
"CSMD2",1,1,0
"SMIM12",525,469,616
"GJB3",0,0,1
"GJA4",0,1,2
"DLGAP3",25,11,5
"RP11-244H3.1",69,25,51
"RP11-244H3.4",147,145,194
"ZMYM6",188,107,163
"ZMYM1",190,82,161
"EFCAB14P1",4,0,2
"SFPQ",1854,1987,3280
"ZMYM4",242,139,234
"SNORA62",2,0,0
"RPL5P4",1856,966,1269
"ZMYM4-AS1",0,1,0
"Metazoa-SRP.4",0,0,0
"KIAA0319L",354,292,450
"RP4-728D4.3",2,3,4
"NCDN",71,92,105
"RP4-728D4.2",91,60,83
"TFAP2E",8,8,17
"PSMB2",1128,1159,1795
"C1orf216",117,95,144
"CLSPN",10,45,100
"RP11-435D7.3",1,0,0
"AGO4",144,69,122
"AGO1",217,130,222
"RP4-789D17.5",0,0,3
"AGO3",582,307,538
"TEKT2",0,0,1
"ADPRHL2",176,198,346
"COL8A2",1,0,0
"TRAPPC3",909,672,1116
"MAP7D1",818,530,868
"THRAP3",2571,1740,2993
"SH3D21",5,5,13
"EVA1B",57,69,101
"RP11-268J15.5",2,3,4
"STK40",110,104,165
"LSM10",881,657,1005
"OSCP1",3,0,1
"MRPS15",965,638,1020
"CSF3R",2,4,12
"LINC01137",98,64,88
"ZC3H12A",126,716,1143
"MEAF6",1994,1270,2118
"SNIP1",96,136,225
"FTH1P1",1,0,1
"RP3-423B22.5",44,35,44
"DNALI1",3,0,2
"GNL2",348,266,525
"RSPO1",0,0,0
"C1orf109",186,75,136
"CDCA8",8,7,14
"EPHA10",0,0,0
"MANEAL",5,10,11
"YRDC",117,128,208
"C1orf122",387,299,518
"MTF1",145,124,204
"INPP5B",140,98,169
"RP11-109P14.10",1,1,0
"SF3A3",766,460,748
"FHL3",112,158,221
"POU3F1",0,43,95
"RP11-334L9.1",5,5,9
"RRAGC",199,172,297
"RP5-864K19.4",10,7,18
"MYCBP",306,206,336
"RHBDL2",2,0,3
"AKIRIN1",1347,974,1755
"NDUFS5",4938,3444,5299
"MACF1",1723,1399,2184
"RP11-416A14.1",3,10,29
"BMP8A",0,2,0
"OXCT2P1",0,1,1
"RP11-69E11.4",41,18,45
"PPIEL",0,1,0
"PABPC4",1583,1151,1443
"RP11-69E11.8",0,0,0
"HEYL",0,0,1
"HPCAL4",100,5,13
"PPIE",735,486,728
"RP1-144F13.4",1,0,1
"BMP8B",6,2,1
"OXCT2",0,2,1
"RP1-118J21.25",9,0,0
"TRIT1",121,49,131
"MYCL",0,1,1
"RP1-118J21.5",1,0,0
"MFSD2A",2,8,11
"RP3-342P20.2",1,1,2
"CAP1",4223,3038,5523
"PPT1",987,605,1074
"RLF",204,275,508
"TMCO2",0,1,0
"RP1-39G22.7",142,45,85
"ZMPSTE24",226,174,346
"RP1-39G22.4",1,0,1
"COL9A2",24,166,172
"RP1-228H13.1",12,10,11
"SMAP2",1656,1357,2350
"RP1-228H13.2",0,0,0
"ZFP69B",35,10,21
"RP1-228H13.5",5,2,2
"ZFP69",38,29,35
"RP11-656D10.3",9,14,16
"EXO5",58,31,70
"ZNF684",51,47,86
"RIMS3",2,13,16
"NFYC-AS1",44,18,41
"NFYC",451,353,560
"KCNQ4",1,0,1
"RN7SL326P",0,2,0
"CITED4",143,47,66
"CTPS1",89,93,133
"SLFNL1-AS1",5,1,5
"SLFNL1",0,1,1
"SCMH1",59,37,54
"RP11-399E6.1",0,0,0
"FOXO6",0,0,1
"HIVEP3",234,281,332
"RP11-486B10.4",0,0,0
"GUCA2B",0,2,0
"FOXJ3",284,181,275
"RIMKLA",1,0,4
"ZMYND12",5,3,6
"PPCS",1287,686,1175
"CCDC30",91,26,62
"RP11-163G10.4",2,2,1
"PPIH",538,315,524
"RP5-994D16.3",5,3,0
"YBX1",13610,6314,11216
"CLDN19",1,0,1
"P3H1",217,110,250
"C1orf50",135,152,227
"ERMAP",25,13,25
"RP11-342M1.3",1,3,8
"ZNF691",48,39,63
"ATP6V1E1P1",0,0,0
"SLC2A1",106,130,240
"SLC2A1-AS1",14,15,17
"EBNA1BP2",415,293,422
"CFAP57",0,6,5
"TMEM125",1,0,0
"C1orf210",0,0,0
"TIE1",2,3,4
"RP1-92O14.3",13,7,12
"CDC20",0,2,20
"ELOVL1",333,279,457
"MED8",266,254,348
"RP1-92O14.6",0,0,1
"SZT2",219,103,168
"HYI",203,90,108
"HYI-AS1",1,0,0
"PTPRF",2,13,11
"KDM4A",115,176,243
"KDM4A-AS1",19,7,15
"ST3GAL3",55,30,63
"SHMT1P1",0,1,0
"ARTN",0,0,0
"RP11-7O11.3",2,6,4
"IPO13",54,37,60
"DPH2",151,93,130
"ATP6V0B",1158,1024,1631
"B4GALT2",1,0,14
"CCDC24",2,1,1
"SLC6A9",0,0,0
"RP5-1198O20.4",0,2,3
"RP11-570P14.1",37,18,45
"DMAP1",525,255,471
"ERI3",341,183,311
"RNF220",231,185,254
"TMEM53",26,49,69
"C1orf228",383,110,204
"RNU5D-1",8,1,6
"KIF2C",3,6,10
"RP11-269F19.2",8,2,4
"RPS8",113772,34412,54920
"RPS15AP11",1441,586,889
"BEST4",14,12,15
"PLK3",508,1106,2120
"TCTEX1D4",7,3,9
"BTBD19",6,20,52
"PTCH2",72,47,93
"RP5-882O7.1",10,3,3
"EIF2B3",230,166,213
"CCNB1IP1P1",0,0,0
"MRPS17P1",2,0,0
"HECTD3",85,85,125
"UROD",455,216,401
"ZSWIM5",8,2,4
"OSTCP5",2,0,0
"LINC01144",4,0,2
"HPDL",4,1,4
"MUTYH",183,94,177
"TOE1",224,114,199
"TESK2",55,33,60
"MMACHC",21,10,16
"PRDX1",2040,1812,2957
"AKR1A1",740,534,805
"NASP",957,1122,2120
"CCDC17",7,7,6
"GPBP1L1",717,507,882
"RPS15AP10",77,56,87
"RP11-767N6.2",7,3,7
"TMEM69",256,138,255
"IPP",172,82,151
"RP11-767N6.7",14,11,9
"RP11-630I5.1",0,2,4
"MAST2",34,24,36
"PIK3R3",17,48,94
"RP4-533D7.4",0,2,1
"RP4-533D7.5",5,3,6
"TSPAN1",0,2,1
"POMGNT1",220,125,227
"LURAP1",0,3,1
"RAD54L",0,3,4
"LRRC41",287,233,339
"UQCRH",5190,2680,4485
"NSUN4",85,92,144
"RP4-603I14.3",1,0,2
"FAAH",9,2,11
"FAAHP1",21,15,10
"MKNK1-AS1",0,0,1
"MKNK1",419,398,650
"MOB3C",90,79,145
"ATPAF1",461,291,512
"TEX38",0,1,0
"EFCAB14",1021,601,984
"CYP4B1",8,1,0
"CYP4A11",0,0,0
"CYP4X1",0,0,0
"LINC00853",0,0,0
"PDZK1IP1",1,0,1
"TAL1",0,0,0
"RP1-18D14.7",0,0,0
"STIL",4,9,20
"CMPK1",3901,1483,3015
"LINC01389",0,0,0
"FOXD2-AS1",17,15,17
"FOXD2",5,6,9
"TRABD2B",0,0,0
"SLC5A9",0,0,1
"RP5-1024N4.4",0,0,0
"SPATA6",47,8,14
"RP11-329A14.1",3,0,0
"AGBL4",0,0,0
"BEND5",29,5,4
"ELAVL4",6,3,12
"RP11-183G22.1",15,3,13
"FAF1",273,319,522
"CDKN2C",120,183,243
"LINC01562",7,3,2
"RNF11",558,374,658
"RP11-296A18.5",14,6,19
"RP11-296A18.6",2,0,0
"TTC39A",0,3,7
"TTC39A-AS1",0,2,2
"EPS15",799,641,1340
"RP11-275F13.3",0,0,0
"RP11-253A20.1",0,2,2
"RP11-191G24.1",3,9,17
"OSBPL9",392,254,417
"RP4-657D16.3",7,4,4
"RP4-657D16.6",0,2,0
"RAB3B",21,23,37
"TXNDC12",1054,713,1110
"KTI12",249,143,230
"RP11-91A18.4",1,0,0
"BTF3L4",743,576,896
"ZFYVE9",56,14,17
"RP4-800M22.1",2,3,4
"ANAPC10P1",3,1,3
"CC2D1B",121,119,168
"RP11-155O18.6",0,0,0
"PLA2G12AP1",2,0,1
"ORC1",6,9,13
"PRPF38A",838,621,1004
"ZCCHC11",1619,998,1641
"RP11-25O10.2",1,0,2
"GPX7",288,171,286
"FAM159A",585,289,525
"COA7",38,27,45
"ZYG11B",216,137,135
"RPS13P2",1026,336,441
"ZYG11A",2,0,1
"ECHDC2",439,236,417
"RP4-631H13.6",1,0,2
"SCP2",1929,1333,2466
"RP11-334A14.2",4,3,7
"PODN",3,0,0
"SLC1A7",4,0,0
"RP11-334A14.8",0,0,0
"CPT2",170,91,153
"RP5-1024G6.2",6,6,6
"C1orf123",520,292,469
"RP5-1024G6.7",15,16,25
"MAGOH",1359,994,1732
"RP5-1024G6.5",3,4,8
"LRP8",29,65,84
"RP4-784A16.3",0,1,1
"RP11-117D22.2",21,12,15
"SLC25A3P1",2,2,1
"GLIS1",1,2,9
"NDC1",43,38,69
"YIPF1",167,169,276
"DIO1",0,2,1
"HSPB11",930,816,1514
"LRRC42",76,73,107
"HNRNPA3P12",0,0,1
"TMEM59",3521,2898,4669
"RP4-758J24.6",86,33,38
"TCEANC2",156,73,120
"RP4-758J24.4",0,0,1
"RP11-446E24.4",1,1,0
"CYB5RL",39,19,23
"MRPL37",386,260,401
"SSBP3",312,122,118
"SSBP3-AS1",3,1,4
"RP5-997D24.3",2,0,0
"ACOT11",12,5,12
"FAM151A",0,0,0
"MROH7",1,0,0
"TTC4",70,47,68
"PARS2",19,5,8
"TTC22",61,49,61
"DHCR24",6,14,28
"RP11-67L3.4",1,0,0
"PCSK9",0,0,0
"USP24",176,120,257
"RP11-90C4.1",0,0,0
"RP11-504A18.1",0,0,0
"RPL21P23",0,0,0
"PRKAA2",0,0,0
"C1orf168",0,0,0
"C8A",0,0,1
"C8B",0,1,0
"DAB1",19,6,13
"HNRNPA1P6",1,0,0
"RPS26P15",26,20,28
"OMA1",320,195,370
"TACSTD2",0,1,2
"RP4-592A1.2",2,1,0
"MYSM1",441,240,510
"JUN",10134,15755,34230
"LINC01135",0,0,5
"RP11-63G10.3",1,1,2
"RP4-794H19.1",1,5,5
"LINC01358",7,19,13
"RP11-467C18.1",0,0,1
"FGGY",27,52,61
"HOOK1",164,39,57
"CYP2J2",1,0,0
"RP11-436K8.1",1,0,0
"NFIA",187,47,119
"NFIA-AS2",0,0,0
"RP4-802A10.1",2,0,1
"TM2D1",780,439,793
"RP11-430G17.3",17,4,6
