,Blood,TumorCore,TumorEdge
MAR03139,9.497851836951117,9.252665432450248,10.001408194392809
MAR03142,9.108524456778168,8.654636028527968,9.45532722030456
MAR03143,11.207624468226758,10.193525360501216,10.957102041562287
MAR03144,8.03342300153745,7.622051819456376,8.330916878114618
MAR03146,9.497851836951117,9.252665432450248,10.001408194392809
MAR03149,9.108524456778168,8.654636028527968,9.45532722030456
MAR03150,11.207624468226758,10.193525360501216,10.957102041562287
MAR03151,8.03342300153745,7.622051819456376,8.330916878114618
MAR03153,9.497851836951117,9.252665432450248,10.001408194392809
MAR03156,7.9886846867721655,7.022367813028454,7.636624620543649
MAR03157,11.207624468226758,10.193525360501216,10.957102041562287
MAR03158,8.03342300153745,7.622051819456376,8.330916878114618
MAR03160,9.497851836951117,9.252665432450248,10.001408194392809
MAR03398,11.207624468226758,10.193525360501216,10.957102041562287
MAR03406,11.207624468226758,10.193525360501216,10.957102041562287
MAR03407,11.207624468226758,10.193525360501216,10.957102041562287
MAR03408,11.207624468226758,10.193525360501216,10.957102041562287
MAR03409,11.207624468226758,10.193525360501216,10.957102041562287
MAR03411,11.207624468226758,10.193525360501216,10.957102041562287
MAR03413,11.207624468226758,10.193525360501216,10.957102041562287
MAR03414,11.207624468226758,10.193525360501216,10.957102041562287
MAR03416,11.207624468226758,10.193525360501216,10.957102041562287
MAR03421,11.207624468226758,10.193525360501216,10.957102041562287
MAR03423,11.207624468226758,10.193525360501216,10.957102041562287
MAR03424,11.207624468226758,10.193525360501216,10.957102041562287
MAR03425,11.207624468226758,10.193525360501216,10.957102041562287
MAR09719,11.207624468226758,10.193525360501216,10.957102041562287
MAR03427,11.207624468226758,10.193525360501216,10.957102041562287
MAR03428,11.207624468226758,10.193525360501216,10.957102041562287
MAR03429,11.207624468226758,10.193525360501216,10.957102041562287
MAR03430,11.207624468226758,10.193525360501216,10.957102041562287
MAR03431,11.207624468226758,10.193525360501216,10.957102041562287
MAR03432,11.207624468226758,10.193525360501216,10.957102041562287
MAR03433,11.207624468226758,10.193525360501216,10.957102041562287
MAR03170,9.799281621521923,9.64745842645492,10.163649676015824
MAR03171,11.207624468226758,10.193525360501216,10.957102041562287
MAR03172,8.03342300153745,7.622051819456376,8.330916878114618
MAR03173,9.497851836951117,9.252665432450248,10.001408194392809
MAR03174,9.799281621521923,9.64745842645492,10.163649676015824
MAR03175,11.207624468226758,10.193525360501216,10.957102041562287
MAR03176,8.03342300153745,7.622051819456376,8.330916878114618
MAR03177,9.497851836951117,9.252665432450248,10.001408194392809
MAR03178,9.799281621521923,9.64745842645492,10.163649676015824
MAR03179,11.207624468226758,10.193525360501216,10.957102041562287
MAR03180,8.03342300153745,7.622051819456376,8.330916878114618
MAR03181,9.497851836951117,9.252665432450248,10.001408194392809
MAR03182,9.799281621521923,9.64745842645492,10.163649676015824
MAR03183,11.207624468226758,10.193525360501216,10.957102041562287
MAR03184,8.03342300153745,7.622051819456376,8.330916878114618
MAR03185,9.497851836951117,9.252665432450248,10.001408194392809
MAR03186,9.799281621521923,9.64745842645492,10.163649676015824
MAR03187,11.207624468226758,10.193525360501216,10.957102041562287
MAR03188,8.03342300153745,7.622051819456376,8.330916878114618
MAR03189,9.497851836951117,9.252665432450248,10.001408194392809
MAR03190,9.108524456778168,8.654636028527968,9.45532722030456
MAR03191,11.207624468226758,10.193525360501216,10.957102041562287
MAR03192,8.03342300153745,7.622051819456376,8.330916878114618
MAR03193,9.497851836951117,9.252665432450248,10.001408194392809
MAR03194,9.108524456778168,8.654636028527968,9.45532722030456
MAR03195,11.207624468226758,10.193525360501216,10.957102041562287
MAR03196,8.03342300153745,7.622051819456376,8.330916878114618
MAR03197,9.497851836951117,9.252665432450248,10.001408194392809
MAR03198,9.108524456778168,8.654636028527968,9.45532722030456
MAR03199,11.207624468226758,10.193525360501216,10.957102041562287
MAR03200,8.03342300153745,7.622051819456376,8.330916878114618
MAR03201,9.497851836951117,9.252665432450248,10.001408194392809
MAR03202,7.9886846867721655,7.022367813028454,7.636624620543649
MAR03203,9.643856189774725,9.224001674198105,10.029287226968245
MAR03204,8.03342300153745,7.622051819456376,8.330916878114618
MAR03205,9.497851836951117,9.252665432450248,10.001408194392809
MAR03396,0.1,0.1,0.1
MAR03397,0.1,0.1,0.1
MAR03240,9.799281621521923,9.64745842645492,10.163649676015824
MAR03241,11.207624468226758,10.193525360501216,10.957102041562287
MAR03242,8.03342300153745,7.622051819456376,8.330916878114618
MAR03243,9.497851836951117,9.252665432450248,10.001408194392809
MAR03244,9.799281621521923,9.64745842645492,10.163649676015824
MAR03245,11.207624468226758,10.193525360501216,10.957102041562287
MAR03246,8.03342300153745,7.622051819456376,8.330916878114618
MAR03247,9.497851836951117,9.252665432450248,10.001408194392809
MAR03250,9.799281621521923,9.64745842645492,10.163649676015824
MAR03252,11.207624468226758,10.193525360501216,10.957102041562287
MAR03254,8.03342300153745,7.622051819456376,8.330916878114618
MAR03256,9.497851836951117,9.252665432450248,10.001408194392809
MAR03258,9.799281621521923,9.64745842645492,10.163649676015824
MAR03260,11.207624468226758,10.193525360501216,10.957102041562287
MAR03262,8.03342300153745,7.622051819456376,8.330916878114618
MAR03264,9.497851836951117,9.252665432450248,10.001408194392809
MAR03272,10.972261848733291,10.69261550169458,11.451211111832329
MAR03356,7.159871336778389,6.714245517666122,7.400879436282184
MAR03357,3.0,2.584962500721156,3.4594316186372973
MAR03358,3.0,2.584962500721156,3.4594316186372973
MAR03359,1.0,3.169925001442312,2.584962500721156
MAR03360,7.159871336778389,6.714245517666122,7.400879436282184
MAR03361,3.0,2.584962500721156,3.4594316186372973
MAR03362,3.0,2.584962500721156,3.4594316186372973
MAR03363,1.0,3.169925001442312,2.584962500721156
MAR03218,9.799281621521923,9.64745842645492,10.163649676015824
MAR03219,11.207624468226758,10.193525360501216,10.957102041562287
MAR03220,8.03342300153745,7.622051819456376,8.330916878114618
MAR03221,9.497851836951117,9.252665432450248,10.001408194392809
MAR03222,9.799281621521923,9.64745842645492,10.163649676015824
MAR03223,11.207624468226758,10.193525360501216,10.957102041562287
MAR03224,8.03342300153745,7.622051819456376,8.330916878114618
MAR03225,9.497851836951117,9.252665432450248,10.001408194392809
MAR03226,9.799281621521923,9.64745842645492,10.163649676015824
MAR03227,11.207624468226758,10.193525360501216,10.957102041562287
MAR03228,8.03342300153745,7.622051819456376,8.330916878114618
MAR03229,9.497851836951117,9.252665432450248,10.001408194392809
MAR03230,9.799281621521923,9.64745842645492,10.163649676015824
MAR03231,11.207624468226758,10.193525360501216,10.957102041562287
MAR03232,8.03342300153745,7.622051819456376,8.330916878114618
MAR03233,9.497851836951117,9.252665432450248,10.001408194392809
MAR03234,9.799281621521923,9.64745842645492,10.163649676015824
MAR03235,11.207624468226758,10.193525360501216,10.957102041562287
MAR03236,8.03342300153745,7.622051819456376,8.330916878114618
MAR03237,9.497851836951117,9.252665432450248,10.001408194392809
MAR03239,10.972261848733291,10.69261550169458,11.451211111832329
MAR03275,9.799281621521923,9.64745842645492,10.163649676015824
MAR03277,11.207624468226758,10.193525360501216,10.957102041562287
MAR03278,8.03342300153745,7.622051819456376,8.330916878114618
MAR03279,9.497851836951117,9.252665432450248,10.001408194392809
MAR03280,9.799281621521923,9.64745842645492,10.163649676015824
MAR03281,11.207624468226758,10.193525360501216,10.957102041562287
MAR03282,8.03342300153745,7.622051819456376,8.330916878114618
MAR03283,9.497851836951117,9.252665432450248,10.001408194392809
MAR03284,9.799281621521923,9.64745842645492,10.163649676015824
MAR03285,11.207624468226758,10.193525360501216,10.957102041562287
MAR03286,8.03342300153745,7.622051819456376,8.330916878114618
MAR03287,9.497851836951117,9.252665432450248,10.001408194392809
MAR03288,10.972261848733291,10.69261550169458,11.451211111832329
MAR03290,11.207624468226758,10.193525360501216,10.957102041562287
MAR03292,8.03342300153745,7.622051819456376,8.330916878114618
MAR03293,9.497851836951117,9.252665432450248,10.001408194392809
MAR03294,9.799281621521923,9.64745842645492,10.163649676015824
MAR03298,9.164906926675688,8.83605035505807,9.531381460516313
MAR01174,9.497851836951117,9.252665432450248,10.001408194392809
MAR01175,7.159871336778389,6.714245517666122,7.400879436282184
MAR01176,10.145932145820515,9.651051691178928,10.44190670454224
MAR01177,11.207624468226758,10.193525360501216,10.957102041562287
MAR01178,8.03342300153745,7.622051819456376,8.330916878114618
MAR01179,9.497851836951117,9.252665432450248,10.001408194392809
